GeneName,FoldChange,Pvalue,Padj
mitogen-activated protein kinase kinase kinase kinase 3,0.589541182,0.024168462,0.045770604
perilipin 4,-1.101820548,0.024219653,0.045861289
kelch domain containing 7B,-4.102577543,0.024220566,0.045861289
PDZ and LIM domain 3,0.622423093,0.024265205,0.045941811
tetraspanin 12,-0.837815268,0.024270702,0.045948217
NA,-4.002374922,0.024281562,0.045964774
scribble planar cell polarity protein,0.702091696,0.02428631,0.04596976
leucine rich repeat neuronal 4,-1.584913967,0.024323348,0.046035859
"zinc finger protein 252, pseudogene",0.506818549,0.024335096,0.046054085
FKBP prolyl isomerase 6 pseudogene,1.037400302,0.024347626,0.046073787
"LLP homolog, long-term synaptic facilitation factor",0.454106324,0.024364499,0.046100087
heat shock protein family D (Hsp60) member 1,0.504699912,0.024366511,0.046100087
interleukin 16,0.769604154,0.024367885,0.046100087
NA,-1.875210493,0.024403863,0.046164134
cell division cycle 16,0.606485616,0.024415732,0.046181007
NA,-1.268784021,0.024417031,0.046181007
frizzled class receptor 4,0.767551135,0.024419931,0.046182474
ring finger protein 207,-1.034277296,0.024435184,0.0462073
NA,-2.43304458,0.0244757,0.046279892
tRNA splicing endonuclease subunit 54,0.563476831,0.0244955,0.046313302
coiled-coil domain containing 189,-0.765847774,0.024513891,0.046344043
NA,-0.94384516,0.024518143,0.046348052
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 10 (putative)",1.205656368,0.024539464,0.046384323
RUS family member 1,-0.477645654,0.024578435,0.046453947
SUZ RNA binding domain containing 1,0.598548519,0.024581351,0.046455421
zinc finger and BTB domain containing 3,0.645863632,0.024589819,0.046467003
CLN8 transmembrane ER and ERGIC protein,-0.754573369,0.024591755,0.046467003
JNK1/MAPK8 associated membrane protein,-0.661430891,0.024599275,0.046477173
LIM and SH3 protein 1,0.47888341,0.024603489,0.046481095
zinc finger protein 668,0.570104923,0.024612893,0.046494823
RNA binding motif protein 47,1.917164893,0.024622191,0.046506787
prostaglandin E receptor 3,-1.472527274,0.024623505,0.046506787
developmentally regulated GTP binding protein 2,-0.4744095,0.024705707,0.04665799
transient receptor potential cation channel subfamily C member 6,0.822903817,0.024715098,0.04667167
Rho GTPase activating protein 23,-0.747796503,0.024781995,0.046793934
neuroligin 3,-0.499982773,0.024787019,0.046799355
chitinase domain containing 1,-0.503229484,0.024793869,0.046808224
solute carrier family 22 member 25,-2.567687222,0.02479687,0.046809307
mutS homolog 3,0.516415268,0.024798749,0.046809307
RNA binding motif single stranded interacting protein 3,-0.7864627,0.024801121,0.04680972
zinc finger protein 99,1.951088173,0.024828846,0.046857981
taste 2 receptor member 46,3.744251638,0.024832454,0.046860723
Kruppel like factor 1,1.876618462,0.024874335,0.046935681
sorbitol dehydrogenase,0.622444444,0.024934457,0.047045042
NA,1.777390983,0.024950647,0.047071504
heat shock protein family A (Hsp70) member 12B,-0.504875023,0.024958741,0.047079609
Yip1 domain family member 2,-0.56672696,0.024959274,0.047079609
translocase of inner mitochondrial membrane 23,-0.618671089,0.024976685,0.047108363
adhesion G protein-coupled receptor G1,0.719227152,0.025052175,0.047246646
drebrin like,-0.454514609,0.025072508,0.047280892
T-box transcription factor 18,0.939924813,0.025076366,0.047284065
NA,-1.152470641,0.025106806,0.047337357
transmembrane 9 superfamily member 4,-0.494176231,0.025204549,0.047514711
long intergenic non-protein coding RNA 1569,-0.829063953,0.025205242,0.047514711
dopamine receptor D4,-1.011521993,0.025225675,0.047549106
annexin A5,-0.714532752,0.025237033,0.047566392
leucine rich repeat transmembrane neuronal 3,-0.545497828,0.025282083,0.047647172
C-C motif chemokine receptor 5,-2.029144044,0.025284477,0.047647553
sulfatase modifying factor 2,-0.447128465,0.025304419,0.047680999
serine and arginine rich splicing factor 8,-0.531913033,0.025330832,0.047726633
chromosome 21 open reading frame 62,1.346648547,0.025373941,0.047803713
neurotrimin,-0.72774355,0.025423454,0.047892844
BTB domain containing 19,-0.830358389,0.025432991,0.047902772
staufen double-stranded RNA binding protein 1,0.284123281,0.025433131,0.047902772
SH3GL interacting endocytic adaptor 1,-0.584187138,0.025499291,0.048023222
dymeclin,0.560118643,0.025526212,0.048069759
adiponectin receptor 2,-0.807914483,0.02553525,0.048082614
aquaporin 12B,-2.867370664,0.025542259,0.048091647
uncharacterized LOC284412,-1.003538992,0.025552855,0.048107432
frizzled class receptor 9,-1.003204832,0.025581625,0.048157425
NA,0.954173448,0.025615386,0.048216805
vimentin type intermediate filament associated coiled-coil protein,0.683452121,0.025671687,0.048318599
"small nucleolar RNA, C/D box 14D",1.304383237,0.02568973,0.048348375
fibronectin leucine rich transmembrane protein 1,-0.834716715,0.025739091,0.048437079
ATM serine/threonine kinase,0.760645427,0.025809111,0.048564643
"testis specific protein Y-linked 26, pseudogene",0.74472371,0.025837016,0.048612943
formimidoyltransferase cyclodeaminase,-1.37546605,0.025849076,0.048628981
forkhead box L2,-1.131398576,0.025850013,0.048628981
stomatin like 3,3.080305243,0.02593271,0.04878033
shisa family member 3,-1.764851351,0.025943445,0.0487963
ciliary neurotrophic factor receptor,0.920385379,0.025968939,0.048840026
C-type lectin domain containing 17A,-2.524771346,0.025999423,0.048893128
protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,0.53625167,0.026008995,0.048906898
ribonuclease H2 subunit B,0.512801249,0.026048659,0.048977245
"protocadherin gamma subfamily B, 1",-0.803612307,0.026099377,0.049068363
hexokinase domain containing 1,0.987291288,0.026130971,0.04912281
solute carrier family 12 member 3,-3.976255207,0.026132856,0.04912281
ectonucleoside triphosphate diphosphohydrolase 7,0.644078272,0.026160066,0.049169707
GTF2I repeat domain containing 1 pseudogene 1,-1.340864123,0.026198731,0.049238123
succinate dehydrogenase complex assembly factor 4,-0.518525843,0.026206544,0.04924855
inositol hexakisphosphate kinase 1,-0.448418707,0.026210319,0.049251387
ubiquitin conjugating enzyme E2 Q2 pseudogene 2,2.699677016,0.0262171,0.049259871
histamine N-methyltransferase,-0.899256795,0.026222532,0.04926582
leukocyte receptor cluster member 8,0.500057708,0.026272302,0.049352285
adaptor related protein complex 3 subunit beta 2,-0.597657009,0.026273095,0.049352285
SR-related CTD associated factor 11,0.64809001,0.026280586,0.049362092
lipocalin 6,-3.667873381,0.026283234,0.049362801
uncharacterized LOC158435,-1.095773187,0.02629463,0.049379938
pre-mRNA processing factor 31,0.436821377,0.026313168,0.049410485
coiled-coil domain containing 34,0.613763167,0.026323427,0.049425479
NK3 homeobox 2,3.466918219,0.026339736,0.049451831
mitogen-activated protein kinase kinase kinase 19,2.109854694,0.026361994,0.049489345
serine protease 36,-1.075544341,0.026379519,0.049517969
fibroblast growth factor 7 pseudogene 3,-0.679729046,0.026384999,0.04952398
NA,1.327015058,0.026394426,0.049537398
coiled-coil domain containing 110,-0.914137179,0.026407444,0.049557552
histone deacetylase 10,0.640399573,0.026410775,0.049559526
YdjC chitooligosaccharide deacetylase homolog,-0.625083229,0.02642627,0.049584321
testis specific protein Y-linked 2,-5.12636725,0.026431598,0.049586507
microRNA 4285,3.789363883,0.026431996,0.049586507
solute carrier family 3 member 2,-0.471152424,0.026447298,0.049610932
chromosome 11 open reading frame 94,1.535788313,0.02646061,0.049631622
NA,2.69970756,0.02648245,0.049668301
family with sequence similarity 214 member A,0.683956296,0.026508066,0.049712055
Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,0.790654581,0.026526375,0.049742101
leucine rich repeat containing 59,0.304718495,0.026556341,0.049793999
caspase recruitment domain family member 6,-0.809834979,0.026620959,0.049910855
EH domain containing 1,0.558434739,0.026657294,0.049974668
deleted in lymphocytic leukemia 1,0.631163881,0.026807758,0.050252411
microtubule actin crosslinking factor 1,0.453827997,0.026867313,0.050359707
NA,0.655698388,0.026885004,0.050388524
FAM3 metabolism regulating signaling molecule C,-0.526372919,0.026918437,0.050446836
biogenesis of ribosomes BRX1,0.45623597,0.026976878,0.050552
NA,-3.526234213,0.026983245,0.050559573
nuclear envelope integral membrane protein 2,0.758398578,0.027010902,0.050607034
fatty acid desaturase 1,0.796178303,0.02703606,0.050649805
CD7 molecule,-2.615354917,0.027053956,0.050678965
NUT family member 2G,1.052387111,0.027079617,0.050722664
ribosomal protein L9,0.864159242,0.02710034,0.050757107
neuronal growth regulator 1,-1.317442959,0.027120288,0.050790093
doublesex and mab-3 related transcription factor 3,-2.169519247,0.027123326,0.050791406
tau tubulin kinase 1,-0.768986327,0.027207469,0.050940658
single stranded DNA binding protein 4,-0.675289276,0.027207714,0.050940658
SLIT and NTRK like family member 6,1.620311633,0.027238954,0.050994756
C10orf88B (pseudogene),-1.022397847,0.027249151,0.051009454
long intergenic non-protein coding RNA 636,-1.319672408,0.02726086,0.051026978
uncharacterized LOC100507507,-0.487623463,0.027263557,0.051027635
embryonal Fyn-associated substrate,1.040971269,0.027270805,0.051036805
T cell receptor beta variable 5-4,-4.04931018,0.027276529,0.051043123
solute carrier family 25 member 43,-0.603309206,0.027299114,0.051080991
ATPase family AAA domain containing 3B,0.551542502,0.027314168,0.051104761
olfactory receptor family 2 subfamily M member 1 pseudogene,-4.345920577,0.027322196,0.051115383
"small nucleolar RNA, C/D box 59A",1.25721031,0.027343342,0.051150543
Fas cell surface death receptor,-1.120137313,0.027351579,0.051161549
cytoplasmic polyadenylation element binding protein 2,-0.778975699,0.027371253,0.051193945
ribosomal protein L15,0.602297751,0.027383173,0.051211834
microRNA 1273c,3.235929063,0.027423196,0.051280269
NA,-1.109537393,0.027424483,0.051280269
high mobility group nucleosome binding domain 5,0.982869666,0.027434632,0.051294834
WD repeat domain 11,0.480714959,0.027482974,0.051380802
translocator protein,0.988355043,0.027493988,0.051396973
ADAM metallopeptidase domain 22,-1.208399908,0.027499208,0.05140231
solute carrier family 1 member 4,-0.655910251,0.027504635,0.051408035
leucine zipper protein 2,-1.199538533,0.027509902,0.051409571
phospholipid phosphatase 3,-0.904715363,0.027511117,0.051409571
uromodulin like 1,-2.171571622,0.02751255,0.051409571
branched chain keto acid dehydrogenase kinase,-0.418074008,0.027542864,0.051461791
ras homolog family member A,-0.499755491,0.027565399,0.05149947
heparin binding EGF like growth factor,0.901705341,0.027573207,0.051509633
upstream transcription factor family member 3,0.590853772,0.027602806,0.051560494
synaptogyrin 4,-2.37927065,0.027609687,0.051568917
RPGR interacting protein 1,1.179129659,0.027630762,0.051603848
presenilin associated rhomboid like,-0.414783284,0.027641947,0.051620304
chromosome 19 open reading frame 38,-1.274353132,0.027717474,0.0517569
choline kinase alpha,-0.495455529,0.027722163,0.051761212
serine/threonine kinase 26,1.054422328,0.02777234,0.051850447
lysyl oxidase like 4,0.812329542,0.027831443,0.051956329
lysophospholipase 1,0.703405202,0.02783998,0.051967804
mitochondrial ribosomal protein L38,-0.394732248,0.027861813,0.052004093
C-X9-C motif containing 2,-0.637388113,0.027882167,0.052037616
NA,0.820094688,0.027912756,0.052090233
casein kinase 1 gamma 2,-0.651046536,0.027923299,0.052105436
mitogen-activated protein kinase kinase kinase 3,0.434912593,0.028009296,0.052261423
neuropeptide FF receptor 1,-2.068932172,0.028025938,0.052286225
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6",0.385624062,0.028027398,0.052286225
tripartite motif containing 58,0.863054077,0.028037367,0.052300335
secretin receptor,-1.82541077,0.028073524,0.052363288
ABI family member 3,-0.954194098,0.028110603,0.05242795
norrin cystine knot growth factor NDP,-0.705465585,0.028121618,0.052443995
ADAM metallopeptidase domain 17,0.569218543,0.028142038,0.052477575
fibroblast growth factor 12,-1.126709502,0.028144612,0.052477873
uncharacterized LOC441172,0.602362328,0.028167001,0.052515116
coiled-coil domain containing 6,-0.491502438,0.028184717,0.052542231
GTF3C2 antisense RNA 1,1.439567018,0.028186378,0.052542231
NA,-1.579472252,0.028197445,0.052558355
G protein-coupled receptor 21,0.858431836,0.028247602,0.052647331
NA,0.916121323,0.028256807,0.052659972
chromosome 1 open reading frame 21,-0.640334158,0.028263951,0.052668772
NA,0.56753274,0.028283258,0.052700232
tribbles pseudokinase 2,0.643075516,0.028332769,0.052787962
elongation factor 1 homolog,-0.440885813,0.028341002,0.052798776
WD repeat domain 83,0.461821613,0.0283594,0.052828525
TNF receptor superfamily member 13C,1.374820045,0.028363436,0.052831516
NA,0.791163191,0.028385425,0.052867945
autophagy related 2B,-0.491235098,0.028405314,0.052900456
STT3 oligosaccharyltransferase complex catalytic subunit A,0.481735063,0.028411144,0.052906781
eukaryotic translation initiation factor 3 subunit C like,0.58099452,0.028461889,0.052996739
exosome component 9,0.471023163,0.02846777,0.05300315
junctional cadherin complex regulator,0.907848825,0.02850175,0.053061873
ribosomal protein L13a pseudogene 17,3.262467871,0.028514804,0.053080567
NA,-4.361141696,0.028516675,0.053080567
syntrophin gamma 2,1.144751294,0.028523776,0.05308924
guanylate binding protein 7,-1.459969237,0.028564154,0.053159843
tripartite motif containing 11,-0.56003002,0.028577192,0.053179555
NA,2.604997783,0.028602268,0.053221663
transmembrane protein 147,-0.385046331,0.028650011,0.053305939
DS cell adhesion molecule like 1,0.536632896,0.028711427,0.053415638
sterol regulatory element binding transcription factor 1,-0.836352627,0.028714021,0.053415892
NA,4.072116885,0.028726456,0.053434453
acyl-CoA synthetase long chain family member 1,-0.879113521,0.028729954,0.053436387
"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",-0.510879515,0.02873786,0.053445036
thymosin beta 4 X-linked,0.800924007,0.028739521,0.053445036
"golgi associated, gamma adaptin ear containing, ARF binding protein 2",0.427098231,0.028777257,0.053510635
NADPH dependent diflavin oxidoreductase 1,0.659055793,0.02878466,0.053519823
zinc finger and SCAN domain containing 32,0.612905342,0.028807144,0.053557048
oxytocin receptor,0.774762392,0.028861413,0.053653355
small Cajal body-specific RNA 27,1.512886181,0.028890769,0.053703336
formin like 3,0.330300996,0.028908281,0.053731293
vesicle amine transport 1 like,-0.909758065,0.028921774,0.053751777
NA,0.984897008,0.028959654,0.05381299
fatty acyl-CoA reductase 2,-0.673432704,0.028959661,0.05381299
WW domain binding protein 1 like,0.393978317,0.028967703,0.053823334
tumor suppressor candidate 1,-0.539299907,0.028972285,0.053827247
WD repeat domain 59,0.409115453,0.029041116,0.053950517
"small nucleolar RNA, C/D box 115-35",-4.348489171,0.029098428,0.054050037
RNA polymerase III subunit A,0.460709673,0.029099659,0.054050037
CLOCK interacting pacemaker,-0.413432554,0.029129203,0.05410029
solute carrier family 26 member 6,0.526296841,0.029144844,0.054124716
microRNA 491,-3.537525956,0.029167112,0.054161443
immunoglobulin heavy constant mu,-2.012331155,0.029198473,0.054215048
contactin 1,-0.743012847,0.029205963,0.054224325
selenoprotein K pseudogene 1,1.069731366,0.029235167,0.054273911
acid sensing ion channel subunit 2,-1.974859802,0.029256156,0.054302181
UCKL1 antisense RNA 1,1.062534918,0.029256564,0.054302181
NA,-1.20101722,0.029257888,0.054302181
LHFPL tetraspan subfamily member 1,-2.026947096,0.029275591,0.054330399
HERV-H LTR-associating 1,2.508699577,0.0293151,0.054399077
TARDBP pseudogene 3,1.960927566,0.029331681,0.0544252
actin related protein 2/3 complex subunit 5,0.65453505,0.029339731,0.054435492
golgin A8 family member T,-1.38829671,0.029375357,0.05449694
solute carrier family 35 member E3,0.532595143,0.029411624,0.054559566
"serine protease 30, pseudogene",1.187257106,0.029448305,0.054622951
nephrocystin 1,-0.751244804,0.029469731,0.05465803
esterase D,0.565608175,0.029481898,0.054675932
long intergenic non-protein coding RNA 1061,-0.886351509,0.029488002,0.054682588
zinc finger protein 800,0.551832823,0.029505208,0.054709827
family with sequence similarity 120B,0.399595449,0.029528036,0.054745444
CD33 molecule,-1.280823168,0.029529452,0.054745444
electron transfer flavoprotein dehydrogenase,-0.390740146,0.029554673,0.05478753
taste 2 receptor member 30,3.688463424,0.029564897,0.054801809
solute carrier family 17 member 5,-0.450801623,0.029567954,0.054802804
family with sequence similarity 90 member A1,-0.848613662,0.029594212,0.054846797
toll like receptor 9,0.938593675,0.029627942,0.054904628
epidermal growth factor receptor,-0.983109533,0.029730821,0.05509058
DENN domain containing 1B,0.575732142,0.029737811,0.055098836
basic helix-loop-helix family member b9,0.43763643,0.029779245,0.055170534
centrosomal protein 192kDa pseudogene,-0.844188803,0.029781582,0.055170534
adenosine A2b receptor,-0.982576196,0.029789607,0.055180697
NA,1.938934968,0.029794681,0.055185394
protein disulfide isomerase family A member 5,0.783246109,0.029809574,0.055204462
sphingolipid transporter 1 (putative),0.46552044,0.029810054,0.055204462
cerebellar degeneration related protein 2 like,-0.622097888,0.029817448,0.055213452
dual specificity phosphatase 10,-0.710877182,0.029878457,0.055321711
serine/threonine kinase 24,-0.47487854,0.029881162,0.055322008
activating transcription factor 5,0.560568813,0.029985819,0.055511043
motor neuron and pancreas homeobox 1,3.027427447,0.030000013,0.05552937
"small nucleolar RNA, C/D box 98",1.623375958,0.030000827,0.05552937
transmembrane protein 183B,-0.529881051,0.030031076,0.055580628
"H1.3 linker histone, cluster member",2.109352196,0.030036342,0.05558564
homeobox B3,-3.553487544,0.030067328,0.055638248
zinc finger with KRAB and SCAN domains 1,0.786845721,0.030085063,0.055666328
"WASP family homolog 3, pseudogene",0.728777955,0.030098888,0.055683298
ribonuclease P/MRP subunit p14,0.439355393,0.030099357,0.055683298
general transcription factor IIi pseudogene 20,-0.8217468,0.030164019,0.055796776
WD repeat domain 47,0.487471798,0.030165854,0.055796776
arginase 2,0.468738155,0.030168396,0.055796776
BTG anti-proliferation factor 2,-0.679099617,0.030215515,0.055879168
interleukin 4,3.315467573,0.03025726,0.055951612
olfactory receptor family 1 subfamily L member 3,-3.9194394,0.030268312,0.055967288
cell death inducing DFFA like effector b,0.345554382,0.030282006,0.055987848
microRNA 570,0.994271224,0.030338241,0.056087048
Alu-mediated CDKN1A/p21 transcriptional regulator,0.435558954,0.030418381,0.056230424
NA,-0.582801811,0.03042643,0.056240522
myosin IXB,0.68497552,0.030449337,0.056278032
PDZ domain containing ring finger 4,1.314854699,0.030451901,0.056278032
ANP32A intronic transcript 1,1.108630757,0.03046636,0.056299968
angel homolog 1,-0.415739528,0.030510179,0.056376151
thyroid stimulating hormone subunit beta,2.923306774,0.03054817,0.056441554
tripartite motif containing 63,-4.001491219,0.030557343,0.056453705
"tandem C2 domains, nuclear",-1.068537907,0.030599923,0.056527566
"XPA, DNA damage recognition and repair factor",0.484438074,0.030614692,0.056550044
transmembrane protein 179B,-0.44918062,0.030618503,0.056552279
mesothelin,-1.556311979,0.030633013,0.056574272
ATXN8 opposite strand lncRNA,1.49519081,0.030655531,0.056611051
insulin like growth factor 2 receptor,0.536251413,0.030712455,0.056711355
spermatid perinuclear RNA binding protein,0.569355824,0.030745656,0.05676784
zinc finger protein 263,0.400826455,0.03076405,0.056796978
ARMCX3 antisense RNA 1,1.818231246,0.03078621,0.056833063
ecotropic viral integration site 5,-0.591130396,0.030809508,0.056871244
NME/NM23 nucleoside diphosphate kinase 1,-0.656620849,0.030835701,0.056914761
NADH:ubiquinone oxidoreductase subunit A10,-0.340216423,0.030850001,0.056936321
PAX6 antisense RNA 1,3.791254957,0.030914551,0.057050612
WD repeat domain 26,0.455405522,0.03093436,0.057082322
sushi repeat containing protein X-linked,-1.107091236,0.031047621,0.057286457
MPV17 mitochondrial inner membrane protein like 2,-0.497131387,0.031058268,0.057301239
cofilin 1 pseudogene 1,0.755023182,0.031069532,0.057317157
semaphorin 4A,-0.646600547,0.031089976,0.057350005
MYT1L antisense RNA 1,1.153093781,0.031102086,0.057367476
GNAS antisense RNA 1,1.830294643,0.03113209,0.057417947
leucine rich repeat containing 70,1.168222685,0.031135084,0.057418599
protocadherin alpha 5,-1.042508269,0.031138965,0.057420885
"SEC22 homolog A, vesicle trafficking protein",0.570278965,0.031158794,0.057452577
chromosome 2 open reading frame 76,-0.7217237,0.031179964,0.057486737
RAD51 paralog C,-0.567165979,0.03118905,0.057498613
coiled-coil domain containing 43,-0.383801903,0.031192095,0.05749935
NA,1.941276723,0.031207332,0.057522561
zinc finger C2HC-type containing 1C,-0.957505124,0.03121096,0.057522868
HDGF like 2,0.555378102,0.03121279,0.057522868
Wnt family member 8B,-2.024642821,0.031250457,0.057587404
chromosome 16 open reading frame 91,-0.510901858,0.031277269,0.057631926
transmembrane protein 127,-0.503689564,0.031282516,0.057636709
6-pyruvoyltetrahydropterin synthase,-0.61706475,0.031292827,0.057650822
FMR1 autosomal homolog 2,-0.517416579,0.031313351,0.057683746
dehydrogenase/reductase 4 like 1,1.190987589,0.031330862,0.057711113
vesicle associated membrane protein 7,-1.108375429,0.03136361,0.05776654
DnaJ heat shock protein family (Hsp40) member C2,0.657501121,0.03138107,0.057793803
NA,3.219679881,0.031428596,0.057876428
schlafen family member 13,-1.27825683,0.031468788,0.057945534
signal regulatory protein gamma,-2.242611021,0.031525005,0.058044134
centromere protein X,0.43981288,0.031584447,0.058148654
coiled-coil domain containing 9B,-0.772996424,0.031653546,0.058270935
joining chain of multimeric IgA and IgM,-3.069185891,0.031657432,0.058273154
G protein-coupled receptor 180,-0.612063291,0.031668666,0.058288898
component of oligomeric golgi complex 4,0.469306222,0.031728354,0.058393816
chromosome 2 open reading frame 92,-0.831156102,0.031745959,0.058421271
NFAT activating protein with ITAM motif 1,0.977677274,0.031872743,0.058649624
MYLK antisense RNA 1,0.758535598,0.031875669,0.058650044
"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",-0.734929604,0.031886702,0.05866538
H4 clustered histone 4,3.574996938,0.031928889,0.058738025
leucine rich repeat containing 1,1.160406948,0.031947931,0.058768083
retinol binding protein 2,1.994520442,0.031954204,0.05877465
barttin CLCNK type accessory subunit beta,-2.865550563,0.031989605,0.058834786
microRNA 630,1.306648526,0.03201457,0.05887572
G protein-coupled receptor 160,-1.411715068,0.032018994,0.058878876
family with sequence similarity 66 member A,0.882624505,0.032027085,0.058888774
LY6/PLAUR domain containing 3,1.104200415,0.032042397,0.058911946
PDCD4 antisense RNA 1,0.917951633,0.032065313,0.058949092
colipase,-3.321882698,0.032071235,0.058954995
beta-transducin repeat containing E3 ubiquitin protein ligase,-0.451235227,0.032166446,0.059120958
"small nucleolar RNA, H/ACA box 66",1.410816397,0.032166957,0.059120958
NA,0.547968949,0.032180362,0.059140596
microRNA 330,-3.826886486,0.032217307,0.059203489
chromosome 15 open reading frame 40,0.450981012,0.032226327,0.059215059
mirror-image polydactyly 1,0.676587183,0.032264451,0.0592801
"small nucleolar RNA, C/D box 51",2.332288756,0.032276359,0.059296969
zw10 kinetochore protein,0.570487754,0.032285449,0.059308656
neuralized E3 ubiquitin protein ligase 3,-1.223751222,0.03231732,0.059361317
FXYD domain containing ion transport regulator 2,1.201029883,0.032319576,0.059361317
corticotropin releasing hormone receptor 2,1.09482427,0.032364789,0.059439338
NK6 homeobox 1,-1.785902444,0.032390755,0.059482
protocadherin beta 9,0.696587629,0.032423197,0.059536548
solute carrier family 5 member 4,-1.49640707,0.032433826,0.059551035
nuclear receptor subfamily 1 group H member 3,-0.452241215,0.032455684,0.059586137
cytochrome b5 domain containing 1,0.429988078,0.032472799,0.059608683
tRNA splicing endonuclease subunit 15,-0.609307056,0.032473448,0.059608683
DIRAS family GTPase 3,0.899474144,0.032476421,0.059609106
putative uncharacterized protein LOC400499,-1.065884674,0.032545189,0.059730285
interferon induced protein 44 like,-0.981221081,0.032548101,0.059730587
retinoic acid receptor responder 1,-1.049348609,0.032622747,0.059862521
zona pellucida glycoprotein 1,-1.677911802,0.032657025,0.059920363
TAR (HIV-1) RNA binding protein 1,0.662024308,0.032665612,0.059931061
sodium voltage-gated channel beta subunit 3,-0.750194728,0.032693572,0.059977296
serpin family E member 1,1.053272714,0.03271553,0.060012516
small nuclear RNA activating complex polypeptide 2,-0.552519376,0.032739207,0.060050882
uncharacterized LOC100287015,0.551945425,0.032744292,0.060055142
UBA like domain containing 2,0.506080477,0.03277278,0.060102321
"DNA polymerase epsilon 3, accessory subunit",0.35281879,0.032788195,0.060125519
nudix hydrolase 17,0.613452998,0.032858001,0.060248444
ring finger protein 40,0.515438619,0.032890352,0.060302677
outer dense fiber of sperm tails 2 like,0.598065634,0.032895585,0.060307186
progestin and adipoQ receptor family member 7,-0.715634689,0.032902022,0.060313901
eukaryotic translation initiation factor 4E family member 2,0.526127392,0.032909226,0.06032202
methyltransferase like 6,0.539071427,0.03292493,0.060340806
folylpolyglutamate synthase,0.492345365,0.032925026,0.060340806
mitochondrial ribosomal protein L48,-0.591298661,0.03296119,0.060401992
junction adhesion molecule like,-1.510386408,0.0329933,0.060455738
mediator of DNA damage checkpoint 1,1.220600459,0.033000807,0.060458968
leucine zipper tumor suppressor 1,0.869024156,0.033003386,0.060458968
TNF receptor superfamily member 1A,-0.47061442,0.033003405,0.060458968
WAP four-disulfide core domain 3,-1.556148536,0.033018596,0.0604817
"acid phosphatase 5, tartrate resistant",-1.802206326,0.033055947,0.060545017
zinc finger protein 540,-0.601688144,0.033061803,0.060550641
stromal cell derived factor 4,-0.544521758,0.033095676,0.060607572
oxoeicosanoid receptor 1,1.130268557,0.033114289,0.060636549
carbohydrate sulfotransferase 9,1.004881425,0.033123953,0.060649137
SECIS binding protein 2 like,-0.778823435,0.033152108,0.060695577
golgin A6 family member A,-2.802346766,0.033155306,0.060696322
S100 calcium binding protein A2,-2.941847018,0.033164027,0.060707175
"TLE family member 1, transcriptional corepressor",0.744216462,0.033187768,0.060745518
olfactory receptor family 2 subfamily B member 6,3.64545622,0.03319644,0.060756276
galactosidase beta 1,-0.398521666,0.033258768,0.060865226
GRB2 related adaptor protein,0.699456443,0.033268234,0.060877424
aryl hydrocarbon receptor interacting protein,-0.532149552,0.033342,0.061007274
RIMS binding protein 2,-1.27016215,0.033345405,0.06100837
GRB2 associated binding protein 1,-0.906830675,0.033352627,0.061016447
solute carrier family 17 member 4,2.659685425,0.033387573,0.061075239
galactokinase 1,-0.623602528,0.033400013,0.061092855
KDM4A antisense RNA 1,0.636452604,0.03342376,0.061131148
"family with sequence similarity 86 member D, pseudogene",-0.492203748,0.033443751,0.061162566
15-hydroxyprostaglandin dehydrogenase,1.13912038,0.03345558,0.061179054
"FTX transcript, XIST regulator",0.597523226,0.03346399,0.061184858
signal transducing adaptor molecule 2,0.533586145,0.033464383,0.061184858
cytotoxic T-lymphocyte associated protein 4,-2.90569654,0.033481058,0.061207581
ankyrin repeat domain 33,-2.00407218,0.033483112,0.061207581
mitochondrial ribosomal protein L37,-0.474715593,0.033485257,0.061207581
IQ motif containing J,-1.030400851,0.033502189,0.061233384
N-acetyltransferase 8 (putative),1.296382959,0.033512082,0.061246316
dynein heavy chain domain 1,-0.536957174,0.033516328,0.061248926
chromosome 7 open reading frame 61,-1.835049652,0.033534226,0.061273023
dual specificity phosphatase 13,-2.703619013,0.03353515,0.061273023
adenylate cyclase 3,-0.570114795,0.033556542,0.061306955
mitochondrial ribosomal protein L15,-0.464435966,0.033569182,0.061324895
DOCK4 antisense RNA 1,1.248295747,0.033594053,0.061365175
NA,-3.467718409,0.033600273,0.06137138
NME/NM23 family member 7,0.431917041,0.033605971,0.061376632
adenylate cyclase 4,-0.600358516,0.033615483,0.061388846
fibronectin type III and SPRY domain containing 2,1.903758436,0.033655315,0.061456426
integrator complex subunit 4 pseudogene 1,-0.781507864,0.033658242,0.061456609
long intergenic non-protein coding RNA 1816,-0.742067235,0.033713775,0.061552837
long intergenic non-protein coding RNA 2470,-1.535679477,0.033717809,0.061555033
solute carrier family 49 member 4,-0.506950985,0.033733422,0.061575623
microtubule associated protein 1 light chain 3 beta pseudogene,3.151006733,0.033734752,0.061575623
metabolism of cobalamin associated B,-0.472523109,0.033762855,0.061621745
cortactin,-0.367415861,0.033784443,0.061655971
